inf ,   1 	 ,   1 	 
inf ,   2 	 ,   2 	 
inf ,   3 	 ,   3 	 
inf ,   4 	 ,   4 	 
inf ,   5 	 ,   5 	 
inf ,   6 	 ,   6 	 
inf ,   7 	 ,   7 	 
inf ,   8 	 ,   8 	 
inf ,   9 	 ,   9 	 
inf ,  10 	 ,  10 	 
inf ,  11 	 ,  11 	 
inf ,  12 	 ,  12 	 
inf ,  13 	 ,  13 	 
inf ,  14 	 ,  14 	 
inf ,  15 	 ,  15 	 
inf ,  16 	 ,  16 	 
inf ,  17 	 ,  17 	 
inf ,  18 	 ,  18 	 
inf ,  19 	 ,  19 	 
inf ,  20 	 ,  20 	 
inf ,  21 	 ,  21 	 
inf ,  22 	 ,  22 	 
inf ,  23 	 ,  23 	 
inf ,  24 	 ,  24 	 
inf ,  25 	 ,  25 	 
inf ,  26 	 ,  26 	 
inf ,  27 	 ,  27 	 
inf ,  28 	 ,  28 	 
inf ,  29 	 ,  29 	 
inf ,  30 	 ,  30 	 
inf ,  31 	 ,  31 	 
inf ,  32 	 ,  32 	 
inf ,  33 	 ,  33 	 
inf ,  34 	 ,  34 	 
inf ,  35 	 ,  35 	 
inf ,  36 	 ,  36 	 
inf ,  37 	 ,  37 	 
inf ,  38 	 ,  38 	 
inf ,  39 	 ,  39 	 
inf ,  40 	 ,  40 	 
inf ,  41 	 ,  41 	 
inf ,  42 	 ,  42 	 
inf ,  43 	 ,  43 	 
inf ,  44 	 ,  44 	 
inf ,  45 	 ,  45 	 
inf ,  46 	 ,  46 	 
inf ,  47 	 ,  47 	 
inf ,  48 	 ,  48 	 
inf ,  49 	 ,  49 	 
inf ,  50 	 ,  50 	 
inf ,  51 	 ,  51 	 
inf ,  52 	 ,  52 	 
inf ,  53 	 ,  53 	 
inf ,  54 	 ,  54 	 
inf ,  55 	 ,  55 	 
inf ,  56 	 ,  56 	 
inf ,  57 	 ,  57 	 
inf ,  58 	 ,  58 	 
inf ,  59 	 ,  59 	 
inf ,  60 	 ,  60 	 
inf ,  61 	 ,  61 	 
inf ,  62 	 ,  62 	 
inf ,  63 	 ,  63 	 
inf ,  64 	 ,  64 	 
inf ,  65 	 ,  65 	 
inf ,  66 	 ,  66 	 
inf ,  67 	 ,  67 	 
inf ,  68 	 ,  68 	 
inf ,  69 	 ,  69 	 
inf ,  70 	 ,  70 	 
inf ,  71 	 ,  71 	 
inf ,  72 	 ,  72 	 
inf ,  73 	 ,  73 	 
inf ,  74 	 ,  74 	 
inf ,  75 	 ,  75 	 
inf ,  76 	 ,  76 	 
inf ,  77 	 ,  77 	 
inf ,  78 	 ,  78 	 
inf ,  79 	 ,  79 	 
1.000010000100 ,  80 	 ,  80 	 
1.018715344134 ,  81 	 ,  81 	 
1.037363315285 ,  82 	 ,  82 	 
1.055946687367 ,  83 	 ,  83 	 
1.074468067065 ,  84 	 ,  84 	 
1.092929907225 ,  85 	 ,  85 	 
1.111334518907 ,  86 	 ,  86 	 
1.129684082266 ,  87 	 ,  87 	 
1.147980656394 ,  88 	 ,  88 	 
1.166226188235 ,  89 	 ,  89 	 
1.184422520686 ,  90 	 ,  90 	 
1.202571399970 ,  91 	 ,  91 	 
1.220674482353 ,  92 	 ,  92 	 
1.238733340284 ,  93 	 ,  93 	 
1.256749468013 ,  94 	 ,  94 	 
1.274724286738 ,  95 	 ,  95 	 
1.292659149329 ,  96 	 ,  96 	 
1.310555344674 ,  97 	 ,  97 	 
1.328414101680 ,  98 	 ,  98 	 
1.346236592960 ,  99 	 ,  99 	 
1.364023938243 , 100 	 , 100 	 
1.381777207520 , 101 	 , 101 	 
1.399497423963 , 102 	 , 102 	 
1.417185566626 , 103 	 , 103 	 
1.434842572955 , 104 	 , 104 	 
1.452469341118 , 105 	 , 105 	 
1.470066732176 , 106 	 , 106 	 
1.487635572101 , 107 	 , 107 	 
1.505176653657 , 108 	 , 108 	 
1.522690738163 , 109 	 , 109 	 
1.540178557127 , 110 	 , 110 	 
1.557640813785 , 111 	 , 111 	 
1.575078184539 , 112 	 , 112 	 
1.592491320297 , 113 	 , 113 	 
1.609880847742 , 114 	 , 114 	 
1.627247370510 , 115 	 , 115 	 
1.644591470305 , 116 	 , 116 	 
1.661913707947 , 117 	 , 117 	 
1.679214624348 , 118 	 , 118 	 
1.696494741449 , 119 	 , 119 	 
1.713754563080 , 120 	 , 120 	 
1.730994575793 , 121 	 , 121 	 
1.748215249633 , 122 	 , 122 	 
1.765417038873 , 123 	 , 123 	 
1.782600382703 , 124 	 , 124 	 
1.799765705892 , 125 	 , 125 	 
1.816913419398 , 126 	 , 126 	 
1.834043920962 , 127 	 , 127 	 
1.851157595662 , 128 	 , 128 	 
1.868254816437 , 129 	 , 129 	 
1.885335944589 , 130 	 , 130 	 
1.902401330254 , 131 	 , 131 	 
1.919451312857 , 132 	 , 132 	 
1.936486221536 , 133 	 , 133 	 
1.953506375547 , 134 	 , 134 	 
1.970512084655 , 135 	 , 135 	 
1.987503649497 , 136 	 , 136 	 
2.004481361938 , 137 	 , 137 	 
2.021445505398 , 138 	 , 138 	 
2.038396355174 , 139 	 , 139 	 
2.055334178740 , 140 	 , 140 	 
2.072259236041 , 141 	 , 141 	 
2.089171779763 , 142 	 , 142 	 
2.106072055600 , 143 	 , 143 	 
2.122960302503 , 144 	 , 144 	 
2.139836752924 , 145 	 , 145 	 
2.156701633041 , 146 	 , 146 	 
2.173555162982 , 147 	 , 147 	 
2.190397557030 , 148 	 , 148 	 
2.207229023832 , 149 	 , 149 	 
2.224049766582 , 150 	 , 150 	 
2.240859983214 , 151 	 , 151 	 
2.257659866573 , 152 	 , 152 	 
2.274449604586 , 153 	 , 153 	 
2.291229380428 , 154 	 , 154 	 
2.307999372671 , 155 	 , 155 	 
2.324759755439 , 156 	 , 156 	 
2.341510698550 , 157 	 , 157 	 
2.358252367653 , 158 	 , 158 	 
2.374984924362 , 159 	 , 159 	 
2.391708526379 , 160 	 , 160 	 
2.408423327624 , 161 	 , 161 	 
2.425129478343 , 162 	 , 162 	 
2.441827125230 , 163 	 , 163 	 
2.458516411528 , 164 	 , 164 	 
2.475197477141 , 165 	 , 165 	 
2.491870458727 , 166 	 , 166 	 
2.508535489803 , 167 	 , 167 	 
2.525192700831 , 168 	 , 168 	 
2.541842219312 , 169 	 , 169 	 
2.558484169874 , 170 	 , 170 	 
2.575118674352 , 171 	 , 171 	 
2.591745851870 , 172 	 , 172 	 
2.608365818920 , 173 	 , 173 	 
2.624978689435 , 174 	 , 174 	 
2.641584574864 , 175 	 , 175 	 
2.658183584239 , 176 	 , 176 	 
2.674775824243 , 177 	 , 177 	 
2.691361399277 , 178 	 , 178 	 
2.707940411521 , 179 	 , 179 	 
2.724512960996 , 180 	 , 180 	 
2.741079145621 , 181 	 , 181 	 
2.757639061272 , 182 	 , 182 	 
2.774192801836 , 183 	 , 183 	 
2.790740459263 , 184 	 , 184 	 
2.807282123619 , 185 	 , 185 	 
2.823817883132 , 186 	 , 186 	 
2.840347824248 , 187 	 , 187 	 
2.856872031668 , 188 	 , 188 	 
2.873390588398 , 189 	 , 189 	 
2.889903575795 , 190 	 , 190 	 
2.906411073603 , 191 	 , 191 	 
2.922913159998 , 192 	 , 192 	 
2.939409911626 , 193 	 , 193 	 
2.955901403645 , 194 	 , 194 	 
2.972387709755 , 195 	 , 195 	 
2.988868902242 , 196 	 , 196 	 
3.005345052008 , 197 	 , 197 	 
3.021816228604 , 198 	 , 198 	 
3.038282500269 , 199 	 , 199 	 
3.054743933955 , 200 	 , 200 	 
